ims_id,TRX_Qty,trgt_flg,cal_dt
1889093,0,N,10/1/2012 0:00
1889093,65.06,N,11/1/2012 0:00
1889093,0,N,12/1/2012 0:00
1899382,204.28,Y,1/1/2012 0:00
1899382,180.82,Y,2/1/2012 0:00
1899382,136.9,Y,3/1/2012 0:00
1899382,165.95,Y,9/1/2012 0:00
1899382,167.4,Y,10/1/2012 0:00
1899382,154.9,Y,11/1/2012 0:00
1899382,148.66,Y,12/1/2012 0:00
1959877,81.28,Y,5/1/2012 0:00
1959899,31.65,Y,2/1/2012 0:00
1959899,62.66,Y,4/1/2012 0:00
1959899,33.33,Y,7/1/2012 0:00
1959899,64.1,Y,8/1/2012 0:00
1959899,69.35,Y,9/1/2012 0:00
1959899,72.46,Y,10/1/2012 0:00
1959899,69.86,Y,11/1/2012 0:00
1959899,69.47,Y,12/1/2012 0:00
1976446,128.91,Y,5/1/2012 0:00
1976446,82.5,Y,6/1/2012 0:00
1976446,49.56,Y,7/1/2012 0:00
1976446,139.68,Y,8/1/2012 0:00
1976446,0,Y,9/1/2012 0:00
1976446,0,Y,10/1/2012 0:00
1976446,136.99,Y,11/1/2012 0:00
1976446,0,Y,12/1/2012 0:00
1976574,62.69,N,12/1/2012 0:00
1984147,186.61,N,7/1/2012 0:00
1933871,79.83,Y,6/1/2012 0:00
1946634,107.74,N,1/1/2012 0:00
1948741,130.77,Y,6/1/2012 0:00
1948741,208.74,Y,8/1/2012 0:00
1948741,0,Y,9/1/2012 0:00
1948741,184.65,Y,10/1/2012 0:00
1948741,0,Y,11/1/2012 0:00
1948741,264.85,Y,12/1/2012 0:00
2017729,32.78,N,8/1/2012 0:00
2018113,64.31,Y,3/1/2012 0:00
2130974,70.09,N,1/1/2012 0:00
2130974,130.17,N,2/1/2012 0:00
2130974,351.69,N,3/1/2012 0:00
2130974,71.69,N,4/1/2012 0:00
2130974,75.99,N,5/1/2012 0:00
2130974,334.28,N,6/1/2012 0:00
2130974,73.73,N,7/1/2012 0:00
2130974,72.12,N,8/1/2012 0:00
2130974,347.14,N,9/1/2012 0:00
2130974,141.54,N,10/1/2012 0:00
2130974,65.44,N,11/1/2012 0:00
2130974,0,N,12/1/2012 0:00
2131145,65.57,N,7/1/2012 0:00
2131145,191.19,N,9/1/2012 0:00
2131145,0,N,10/1/2012 0:00
2131145,66.79,N,11/1/2012 0:00
2131145,92.73,N,12/1/2012 0:00
2131429,62.94,N,12/1/2012 0:00
2134641,33.08,Y,1/1/2012 0:00
2134641,33.29,Y,2/1/2012 0:00
2134641,195.44,Y,3/1/2012 0:00
2134641,180.05,Y,4/1/2012 0:00
2134641,204.47,Y,5/1/2012 0:00
2134641,70.14,Y,6/1/2012 0:00
2134641,67.59,Y,7/1/2012 0:00
2134641,252.48,Y,8/1/2012 0:00
2134641,66.21,Y,9/1/2012 0:00
2134641,66.44,Y,10/1/2012 0:00
2134641,0,Y,11/1/2012 0:00
2134641,65.34,Y,12/1/2012 0:00
2135411,0,N,9/1/2012 0:00
2135411,112.9,N,10/1/2012 0:00
2135411,0,N,11/1/2012 0:00
2135411,0,N,12/1/2012 0:00
1989979,69.2,N,3/1/2012 0:00
1989979,71.89,N,5/1/2012 0:00
1989979,57.42,N,6/1/2012 0:00
1991918,68.64,Y,6/1/2012 0:00
1991918,66.09,Y,8/1/2012 0:00
1994047,94.6,N,2/1/2012 0:00
1994047,92.72,N,7/1/2012 0:00
1995212,74.53,Y,1/1/2012 0:00
1995212,76.89,Y,2/1/2012 0:00
1995212,77.49,Y,3/1/2012 0:00
1995212,79.98,Y,4/1/2012 0:00
1995212,81.79,Y,5/1/2012 0:00
1995212,159.88,Y,6/1/2012 0:00
1995212,81.86,Y,7/1/2012 0:00
1995212,161.56,Y,8/1/2012 0:00
1995212,76.59,Y,9/1/2012 0:00
1995212,0,Y,10/1/2012 0:00
1995212,0,Y,11/1/2012 0:00
1999574,126.99,Y,1/1/2012 0:00
1999574,66.39,Y,8/1/2012 0:00
1999574,31.68,Y,9/1/2012 0:00
1999574,0,Y,10/1/2012 0:00
1999574,0,Y,11/1/2012 0:00
2000899,74.23,Y,1/1/2012 0:00
2000899,73.16,Y,2/1/2012 0:00
2000899,73.28,Y,3/1/2012 0:00
2000899,73.83,Y,5/1/2012 0:00
2000899,74.71,Y,6/1/2012 0:00
2000899,74.04,Y,7/1/2012 0:00
2000899,73.85,Y,8/1/2012 0:00
2000899,0,Y,9/1/2012 0:00
2000899,73.68,Y,10/1/2012 0:00
2000899,72.9,Y,11/1/2012 0:00
2000899,73.5,Y,12/1/2012 0:00
2004269,62.9,Y,1/1/2012 0:00
2004269,126.99,Y,2/1/2012 0:00
2004269,63.4,Y,3/1/2012 0:00
2004269,139.5,Y,4/1/2012 0:00
2004269,63.96,Y,5/1/2012 0:00
2004269,64.65,Y,6/1/2012 0:00
2004269,198.15,Y,7/1/2012 0:00
2004269,125.77,Y,8/1/2012 0:00
2004269,80.66,Y,9/1/2012 0:00
2004269,302.16,Y,10/1/2012 0:00
2004269,146.73,Y,11/1/2012 0:00
2004269,206.87,Y,12/1/2012 0:00
2202052,135.01,N,4/1/2012 0:00
2138897,295.96,Y,1/1/2012 0:00
2138897,240.85,Y,2/1/2012 0:00
2138897,70.24,Y,6/1/2012 0:00
2138897,36.4,Y,8/1/2012 0:00
2138897,104.71,Y,9/1/2012 0:00
2138897,66.95,Y,10/1/2012 0:00
2138897,132.29,Y,11/1/2012 0:00
2138897,209.18,Y,12/1/2012 0:00
2294964,0,N,9/1/2012 0:00
2294964,0,N,10/1/2012 0:00
2294964,106.1,N,11/1/2012 0:00
2294964,0,N,12/1/2012 0:00
2306184,73.02,Y,1/1/2012 0:00
2306184,72.91,Y,2/1/2012 0:00
2306184,124.02,Y,3/1/2012 0:00
2306184,199.88,Y,4/1/2012 0:00
2306184,63.96,Y,5/1/2012 0:00
2306184,82.08,Y,6/1/2012 0:00
2306184,143.4,Y,7/1/2012 0:00
2306184,79.97,Y,8/1/2012 0:00
2306184,75,Y,9/1/2012 0:00
2306184,75.35,Y,10/1/2012 0:00
2306184,72.42,Y,11/1/2012 0:00
2306184,0,Y,12/1/2012 0:00
2232127,62.69,N,1/1/2012 0:00
2232127,63.46,N,8/1/2012 0:00
2255471,74.36,N,7/1/2012 0:00
2446917,180.09,Y,1/1/2012 0:00
